Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
49,tt0090103,2013-06-17,2013-06-17,,"The Sure Thing","The Sure Thing",https://www.imdb.com/title/tt0090103/,Movie,7.0,95,1985,"Comedy, Drama, Romance",22328,1985-03-01,"Rob Reiner"
50,tt0879870,2013-06-17,2013-06-17,,"Eat Pray Love","Eat Pray Love",https://www.imdb.com/title/tt0879870/,Movie,5.8,133,2010,"Biography, Drama, Romance",106919,2010-08-13,"Ryan Murphy"
51,tt0099141,2013-06-17,2013-06-17,,"Bird on a Wire","Bird on a Wire",https://www.imdb.com/title/tt0099141/,Movie,6.0,110,1990,"Action, Comedy, Crime",48228,1990-05-18,"John Badham"
52,tt0088847,2013-06-17,2013-06-17,,"The Breakfast Club","The Breakfast Club",https://www.imdb.com/title/tt0088847/,Movie,7.8,97,1985,"Comedy, Drama",441690,1985-02-15,"John Hughes"
53,tt0386588,2013-06-17,2013-06-17,,"Hitch","Hitch",https://www.imdb.com/title/tt0386588/,Movie,6.6,118,2005,"Comedy, Romance",337148,2005-02-11,"Andy Tennant"
54,tt0120772,2013-06-17,2013-06-17,,"The Object of My Affection","The Object of My Affection",https://www.imdb.com/title/tt0120772/,Movie,6.0,111,1998,"Comedy, Drama, Romance",21642,1998-04-17,"Nicholas Hytner"
55,tt1570728,2013-06-17,2013-06-17,,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,Movie,7.4,118,2011,"Comedy, Drama, Romance",570800,2011-07-29,"Glenn Ficarra, John Requa"
56,tt0368709,2013-06-17,2013-06-17,,"Elizabethtown","Elizabethtown",https://www.imdb.com/title/tt0368709/,Movie,6.3,123,2005,"Comedy, Drama, Romance",73022,2005-10-14,"Cameron Crowe"
57,tt0120789,2013-06-17,2013-06-17,,"Pleasantville","Pleasantville",https://www.imdb.com/title/tt0120789/,Movie,7.5,124,1998,"Comedy, Drama, Fantasy",137123,1998-10-23,"Gary Ross"
58,tt0457939,2013-06-17,2013-06-17,,"The Holiday","The Holiday",https://www.imdb.com/title/tt0457939/,Movie,6.9,136,2006,"Comedy, Romance",325882,2006-12-08,"Nancy Meyers"
59,tt0256415,2013-06-17,2013-06-17,,"Sweet Home Alabama","Sweet Home Alabama",https://www.imdb.com/title/tt0256415/,Movie,6.2,108,2002,"Comedy, Romance",124678,2002-09-27,"Andy Tennant"
60,tt1000774,2013-06-17,2013-06-17,,"Sex and the City","Sex and the City",https://www.imdb.com/title/tt1000774/,Movie,5.7,145,2008,"Comedy, Drama, Romance",128085,2008-05-30,"Michael Patrick King"
61,tt0112346,2013-06-17,2013-06-17,,"The American President","The American President",https://www.imdb.com/title/tt0112346/,Movie,6.8,114,1995,"Comedy, Drama, Romance",60989,1995-11-17,"Rob Reiner"
62,tt0114319,2013-06-17,2013-06-17,,"Sabrina","Sabrina",https://www.imdb.com/title/tt0114319/,Movie,6.3,127,1995,"Comedy, Drama, Romance",44784,1995-12-15,"Sydney Pollack"
63,tt0117247,2013-06-17,2013-06-17,,"One Fine Day","One Fine Day",https://www.imdb.com/title/tt0117247/,Movie,6.5,108,1996,"Comedy, Drama, Romance",48776,1996-12-20,"Michael Hoffman"
64,tt0093493,2013-06-17,2013-06-17,,"Mannequin","Mannequin",https://www.imdb.com/title/tt0093493/,Movie,6.0,90,1987,"Comedy, Fantasy, Romance",36274,1987-02-13,"Michael Gottlieb"
65,tt0211915,2013-06-17,2013-06-17,,"Amélie","Le fabuleux destin d'Amélie Poulain",https://www.imdb.com/title/tt0211915/,Movie,8.3,122,2001,"Comedy, Romance",799007,2002-02-08,"Jean-Pierre Jeunet"
66,tt0396269,2013-06-17,2013-06-17,,"Wedding Crashers","Wedding Crashers",https://www.imdb.com/title/tt0396269/,Movie,7.0,119,2005,"Comedy, Romance",378104,2005-07-15,"David Dobkin"
67,tt0343135,2013-06-17,2013-06-17,,"Along Came Polly","Along Came Polly",https://www.imdb.com/title/tt0343135/,Movie,6.0,90,2004,"Comedy, Romance",144515,2004-01-16,"John Hamburg"
68,tt0372532,2013-06-17,2013-06-17,,"The Wedding Date","The Wedding Date",https://www.imdb.com/title/tt0372532/,Movie,6.1,90,2005,"Comedy, Romance",56611,2005-02-04,"Clare Kilner"
69,tt0866439,2013-06-17,2013-06-17,,"Made of Honor","Made of Honor",https://www.imdb.com/title/tt0866439/,Movie,5.8,101,2008,"Comedy, Romance",76434,2008-05-02,"Paul Weiland"
70,tt0356680,2013-06-17,2013-06-17,,"The Family Stone","The Family Stone",https://www.imdb.com/title/tt0356680/,Movie,6.3,103,2005,"Comedy, Drama, Romance",75561,2005-12-16,"Thomas Bezucha"
71,tt0405422,2013-06-17,2013-06-17,,"The 40-Year-Old Virgin","The 40 Year Old Virgin",https://www.imdb.com/title/tt0405422/,Movie,7.1,116,2005,"Comedy, Romance",471695,2005-08-19,"Judd Apatow"
72,tt0323033,2013-06-17,2013-06-17,,"Laws of Attraction","Laws of Attraction",https://www.imdb.com/title/tt0323033/,Movie,5.9,90,2004,"Comedy, Romance",24712,2004-04-30,"Peter Howitt"
