Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
40,tt0129387,2017-06-12,2017-06-12,,"There's Something About Mary","There's Something About Mary",https://www.imdb.com/title/tt0129387/,Movie,7.1,119,1998,"Comedy, Romance",331312,1998-07-15,"Bobby Farrelly, Peter Farrelly"
41,tt0035423,2017-06-12,2017-06-12,,"Kate & Leopold","Kate & Leopold",https://www.imdb.com/title/tt0035423/,Movie,6.4,118,2001,"Comedy, Fantasy, Romance",89515,2001-12-25,"James Mangold"
42,tt0169547,2017-06-12,2017-06-12,,"American Beauty","American Beauty",https://www.imdb.com/title/tt0169547/,Movie,8.3,122,1999,"Drama",1218553,1999-10-01,"Sam Mendes"
43,tt0433400,2017-06-12,2017-06-12,,"Just Friends","Just Friends",https://www.imdb.com/title/tt0433400/,Movie,6.2,96,2005,"Comedy, Romance",128068,2005-11-23,"Roger Kumble"
44,tt1564367,2017-06-12,2017-06-12,,"Just Go with It","Just Go with It",https://www.imdb.com/title/tt1564367/,Movie,6.4,117,2011,"Comedy, Romance",268211,2011-02-11,"Dennis Dugan"
45,tt1045658,2017-06-12,2017-06-12,,"Silver Linings Playbook","Silver Linings Playbook",https://www.imdb.com/title/tt1045658/,Movie,7.7,122,2012,"Comedy, Drama, Romance",746687,2012-12-25,"David O. Russell"
46,tt1411238,2017-06-12,2017-06-12,,"No Strings Attached","No Strings Attached",https://www.imdb.com/title/tt1411238/,Movie,6.2,108,2011,"Comedy, Romance",245483,2011-01-21,"Ivan Reitman"
47,tt1632708,2017-06-12,2017-06-12,,"Friends with Benefits","Friends with Benefits",https://www.imdb.com/title/tt1632708/,Movie,6.5,109,2011,"Comedy, Romance",397738,2011-07-22,"Will Gluck"
48,tt0209475,2017-06-12,2017-06-12,,"The Wedding Planner","The Wedding Planner",https://www.imdb.com/title/tt0209475/,Movie,5.3,103,2001,"Comedy, Romance",87394,2001-01-26,"Adam Shankman"
49,tt1956620,2017-06-12,2017-06-12,,"Sex Tape","Sex Tape",https://www.imdb.com/title/tt1956620/,Movie,5.1,94,2014,"Comedy, Romance",118593,2014-07-18,"Jake Kasdan"
50,tt1086772,2017-06-12,2017-06-12,,"Blended","Blended",https://www.imdb.com/title/tt1086772/,Movie,6.5,117,2014,"Comedy, Romance",146374,2014-05-23,"Frank Coraci"
51,tt0256415,2017-06-12,2017-06-12,,"Sweet Home Alabama","Sweet Home Alabama",https://www.imdb.com/title/tt0256415/,Movie,6.2,108,2002,"Comedy, Romance",124678,2002-09-27,"Andy Tennant"
52,tt0815236,2017-06-12,2017-06-12,,"She's Out of My League","She's Out of My League",https://www.imdb.com/title/tt0815236/,Movie,6.4,104,2010,"Comedy, Romance",145900,2010-03-12,"Jim Field Smith"
53,tt1013743,2017-06-12,2017-06-12,,"Knight and Day","Knight and Day",https://www.imdb.com/title/tt1013743/,Movie,6.3,109,2010,"Action, Adventure, Comedy",211582,2010-06-23,"James Mangold"
54,tt0112697,2017-06-12,2017-06-12,,"Clueless","Clueless",https://www.imdb.com/title/tt0112697/,Movie,6.9,97,1995,"Comedy, Romance",249586,1995-07-19,"Amy Heckerling"
55,tt0478311,2017-06-12,2017-06-12,,"Knocked Up","Knocked Up",https://www.imdb.com/title/tt0478311/,Movie,6.9,129,2007,"Comedy, Romance",386786,2007-06-01,"Judd Apatow"
56,tt0386588,2017-06-12,2017-06-12,,"Hitch","Hitch",https://www.imdb.com/title/tt0386588/,Movie,6.6,118,2005,"Comedy, Romance",337148,2005-02-11,"Andy Tennant"
57,tt0211915,2017-06-12,2017-06-12,,"Amélie","Le fabuleux destin d'Amélie Poulain",https://www.imdb.com/title/tt0211915/,Movie,8.3,122,2001,"Comedy, Romance",799007,2002-02-08,"Jean-Pierre Jeunet"
58,tt0151738,2017-06-12,2017-06-12,,"Never Been Kissed","Never Been Kissed",https://www.imdb.com/title/tt0151738/,Movie,6.0,107,1999,"Comedy, Drama, Romance",98311,1999-04-09,"Raja Gosnell"
59,tt1839492,2017-12-21,2017-12-21,,"Ruby Sparks","Ruby Sparks",https://www.imdb.com/title/tt1839492/,Movie,7.2,104,2012,"Comedy, Drama, Fantasy, Romance",105833,2012-09-06,"Jonathan Dayton, Valerie Faris"
60,tt1905042,2017-12-21,2017-12-21,,"Standing Up","Standing Up",https://www.imdb.com/title/tt1905042/,Movie,6.8,93,2013,"Drama",3328,2013-08-16,"D.J. Caruso"
61,tt0348568,2017-12-21,2017-12-21,,"The Classic","Keulraesik",https://www.imdb.com/title/tt0348568/,Movie,7.7,127,2003,"Drama, Romance",10240,2003-01-30,"Jae-young Kwak"
62,tt5462602,2017-12-21,2017-12-21,,"The Big Sick","The Big Sick",https://www.imdb.com/title/tt5462602/,Movie,7.5,120,2017,"Comedy, Drama, Romance",144511,2017-07-14,"Michael Showalter"
63,tt3890160,2017-12-21,2017-12-21,,"Baby Driver","Baby Driver",https://www.imdb.com/title/tt3890160/,Movie,7.5,113,2017,"Action, Crime, Drama, Music",620756,2017-06-28,"Edgar Wright"
64,tt1055292,2017-12-21,2017-12-21,,"Life as We Know It","Life as We Know It",https://www.imdb.com/title/tt1055292/,Movie,6.5,114,2010,"Comedy, Drama, Romance",139616,2010-10-08,"Greg Berlanti"
