Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
39,tt1486834,2021-06-12,2021-06-12,,"What If","The F Word",https://www.imdb.com/title/tt1486834/,Movie,6.8,98,2013,"Comedy, Romance",82028,2014-08-15,"Michael Dowse"
40,tt0423977,2021-06-26,2021-06-26,,"Charlie Bartlett","Charlie Bartlett",https://www.imdb.com/title/tt0423977/,Movie,6.9,97,2007,"Comedy, Drama, Romance",66895,2008-02-22,"Jon Poll"
41,tt12887178,2021-07-25,2021-07-25,,"14 Phere","14 Phere",https://www.imdb.com/title/tt12887178/,Movie,6.3,111,2021,"Comedy, Romance",5331,2021-07-23,"Devanshu Singh"
42,tt5145742,2021-07-25,2021-07-25,,"Bang Baaja Baaraat","Bang Baaja Baaraat",https://www.imdb.com/title/tt5145742/,TV Mini Series,7.9,20,2015,"Comedy",6678,2015-11-04,
43,tt7853242,2021-07-25,2021-07-25,,"Love Per Square Foot","Love Per Square Foot",https://www.imdb.com/title/tt7853242/,Movie,7.1,133,2018,"Comedy, Romance",9139,2018-02-14,"Anand Tiwari"
44,tt7927936,2021-07-25,2021-07-25,,"Flames","Flames",https://www.imdb.com/title/tt7927936/,TV Series,8.9,30,2018,"Comedy, Drama, Romance",32835,2018-02-04,
45,tt8254348,2021-07-25,2021-07-25,,"ImMATURE","ImMATURE",https://www.imdb.com/title/tt8254348/,TV Series,8.6,25,2019,"Comedy, Drama, Romance",10371,2019-02-18,
46,tt1638002,2022-02-05,2022-02-05,,"Love, Rosie","Love, Rosie",https://www.imdb.com/title/tt1638002/,Movie,7.1,102,2014,"Comedy, Romance",157096,2014-10-22,"Christian Ditter"
47,tt0443465,2022-02-05,2022-02-05,,"Before We Go","Before We Go",https://www.imdb.com/title/tt0443465/,Movie,6.8,95,2014,"Comedy, Drama, Romance",64340,2015-07-21,"Chris Evans"
48,tt0128853,2022-05-30,2022-05-30,,"You've Got Mail","You've Got Mail",https://www.imdb.com/title/tt0128853/,Movie,6.7,119,1998,"Comedy, Drama, Romance",231384,1998-12-18,"Nora Ephron"
