Watched,Title,Year,Holy Grail aka Jas' Top 8 Favorites,Top 22 to Prioritize Watching,Old School Classic,Often Forgotten,Rom-Com Extra Com,More Dram than Com,Can Watch Repeatedly,A Good Cry,Fall / Cozy Vibes,Watchable But Frustrating,A Great Musical Number,Cheesy Goodness,Avengers Assemble!,You Go Girl!,It's Lit(erature),Oh To Be Young & In Love,Coastal Grandmother,Date Night,Wed-Com,Holidate,Watch or Don't... But Don't Prioritize,Where to Stream (Not Updated)
FALSE,Single All the Way,2021,,,,X,,,,,,,,X,,,,,,,,X,,Netflix
FALSE,Sleeping with Other People,2015,,,,X,X,,X,,,,,,,,,,,X,,,,Prime Video (AMC+)
FALSE,Sleepless in Seattle,1993,,,X,,,,,,X,,,,,,,,,,,X,,Prime Video
FALSE,Someone Great ,2019,,,,X,,,X,X,,,,,,X,,,,,,,,Netflix
FALSE,Something Borrowed,2011,,,,,,,,,,X,X,,,,,,,,X,,X,Netflix
FALSE,Something's Gotta Give,2003,,,,,,,,,,,,,,,,,X,,,,,Prime Video
FALSE,Summer Catch,2001,,,,X,,,,,,,,X,,,,,,X,,,,Rent Only
FALSE,Sweet Home Alabama,2002,,,,,,,,,,,,X,,,,,,,X,,,Hulu
FALSE,Sydney White,2007,,,,X,X,,,,,,,X,,X,,X,,,,,,Hulu
FALSE,Taylor Swift x Travis Kelce: On The Map,2023,,,,,,,,,,,,,,X,,,,,,,,"In Real Life, NFL, Tabloids"
FALSE,The American President,1995,,,X,X,,,,,,,,,,,,,,X,,,,HBO Max
FALSE,The Big Wedding,2013,,,,X,,,,,,X,,,,,,,X,,X,,X,Netflix
FALSE,The Broken Hearts Gallery,2020,,,,X,,,X,,,,,,,,,,,,,,,Starz
FALSE,The Duff,2015,,,,,X,,,,,,,,,,,X,,,,,,Netflix
FALSE,The Family Stone,2005,,,,,,,,,,X,,,,,,,X,,,X,,Hulu
FALSE,The Five-Year Engagement,2012,,,,X,,,,,,,X,X,X,,,,,X,,,,Hulu
FALSE,The Hating Game,2021,,,,,,,,,,,,X,,,,,,,,,,Hulu
FALSE,The Holiday,2006,,X,,,,,X,,X,,,,,,,,,,,X,,"Netflix, Hulu"
